"Abbitt, W. H"
"Addams, Jane, 1860-1935"
"Addes, George F., 1910-"
"Adel, Arthur, 1908-"
"Adenauer, Konrad, 1876-1967"
"Adenauer, Paul"
"Adkins, Louis H., 1900-"
"Adler, Felix, 1851-1933"
"Adler, Julius Ochs, 1892-1955"
"Adler, Morris"
"Adler, O"
"Aga-Oglu, Mehmet, 1896-"
"Agasid, Napoleon"
"Agassiz, Alexander, 1835-1910"
"Agassiz, Louis, 1807-1873"
"Agassiz, Mabel"
"Agnew, John Holmes, 1804-1865"
"Agnew, Spiro T., 1918-"
"Agnew, Spiro T., 1918-1996"
"Agranoff, Bernard W., 1926-"
"Aguinaldo, Emilio, 1869-1964"
"Ahern, Richard D"
"Aherne, Brian"
"Ahmad, Eqbal"
"Ahrens, Henry"
"Aigler, Ralph W. (Ralph William), 1885-"
"Aigler, Ralph William, 1885-1964"
"Aiken, George D. (George David), 1892-1984"
"Aiken, Paul C., 1910-"
"Ailey, Alvin"
"Ainsworth, Arthur Sardius, 1862-"
"Aitken, David Demerest, 1853-1930"
"Aiton, Arthur Scott, 1894-1955"
"Aked, Charles Frederic, 1864-1941"
"Akers, Elmer, 1899-"
"Akihito, Crown Prince, son of Hirohito, Emperor of Japan, 1933-"
"Akil, H. Huda"
"Alawan, Charles Khalil"
"Alawan, Raad"
"Albers, George, 1891-"
"Albert, Carl Bert, 1908-"
"Albright, Horace M. (Horace Marden), 1890-1987"
"Albright, William"
"Albright, William Foxwell, 1891-1971"
"Alcorn, Hugh Meade, 1907-"
"Alden, John Richard, 1908-"
"Alden, William C. (William Clinton), b. 1871"
"Aldrich, Cyrus, 1808-1871"
"Aldrich, Frederick A"
"Aldrich, J. Frank"
"Aldrich, Nelson W. (Nelson Wilmarth), 1841-1915"
"Aldrich, R. J"
"Alexander, John, 1891-"
"Alexander, Michael T"
"Alexander, Robert, 1945-"
"Alexander, William, 1938-"
"Alger, Frederick Moulton, 1876-1933"
"Alger, Frederick Moulton, 1907-1967"
"Alger, R. A. (Russell Alexander), 1836-1907"
"Ali, Muhammad, 1942-"
"Allan, Virginia R"
"Allen, Ada"
"Allen, Ann Isabella Barry"
"Allen, B. E. (Basil Ernest), 1919-"
"Allen, D. C"
"Allen, Devere, 1891-1955"
"Allen, Edward Payson, 1839-1909"
"Allen, Elizabeth Howell"
"Allen, Frances Alfred, 1919-"
"Allen, Francis A"
"Allen, Francis Alfred, 1919-"
"Allen, Fred, 1894-1956"
"Allen, Frederick Lewis, 1890-1954"
"Allen, Glenn S., 1914-2001"
"Allen, Glover Morrill, 1879-1942"
"Allen, Henry T. (Henry Tureman), 1859-1930"
"Allen, Hugh Pitzer, 1882-"
"Allen, Irwin, 1916-"
"Allen, J. A. (Joel Asaph), 1838-1921"
"Allen, John Robins, 1869-1920"
"Allen, John, 1796-1851"
"Allen, Joseph Henry, 1820-1898"
"Allen, Knatarsha"
"Allen, Marilyn R"
"Allen, Mildred"
"Allen, Richard, 1760-1831"
"Allen, Rolland Craten, 1881-1948"
"Allen, Shirley Walter, 1883-"
"Allen, W. B. (William Barclay) 1944-"
"Allen, Z. E"
"Allen-Meares, Paula, 1948-"
"Allin, Cephas Daniel, 1875-1927"
"Allinson, Brent Dow"
"Allison, Bob, 1934-"
"Allison, William B. (William Boyd), 1829-1908"
"Allmendinger, David Fredrich, 1848-1916"
"Allmendinger, David Friedrich, 1848-1916"
"Allmendinger, Elizabeth C., 1837-1909"
"Allmendinger, Helen Sophie, 1878-1973"
"Allmendinger, Helene Sophie, 1878-1973"
"Allmendinger, Ina"
"Allmendinger, Martin"
"Allon, Yigal 1918-1980"
"Allouez, Claude, 1622-1689"
"Allport, Floyd Henry, 1890-"
"Allport, Gordon W. (Gordon Willard), 1897-1967"
"Allstorm, Oliver"
"Alsop, Joseph, 1910-"
"Altgeld, John Peter, 1847-1902"
"Altmeyer, Arthur Joseph, 1891-1972"
"Alvarado Mendoza, Arturo"
"Alvord, Henry J"
"Aly, Bower, 1903-"
"Alzona, Encarnación, 1895-"
"Amaral, Afræanio do, 1894-"
"Amberg, David"
"Ames, Charles Gordon, 1828-1912"
"Ames, Dewey"
"Ames, Henry Vandenburg, 1865-1935"
"Ames, Herman Vandenburg, 1865-1935"
"Ames, James Barr, 1846-1910"
"Ammann, Michael S"
"Amory, Cleveland"
"Amos, Earl V"
"Amper, Arcadio"
"Andaya, Herman"
"Anders, Günther, 1892-1992"
"Anderson, Belle Douglass"
"Anderson, Charles F"
"Anderson, Clinton Presba, 1895-"
"Anderson, Eugenie, 1900-"
"Anderson, Godfrey J., d. 1981"
"Anderson, Henry Clay, 1872-1939"
"Anderson, Jack Northman, 1922-"
"Anderson, John Bayard, 1922-"
"Anderson, John W., 1906-"
"Anderson, John Wendell, 1867-1945"
"Anderson, Judith, Dame, 1898-"
"Anderson, Leigh Charles, 1899-"
"Anderson, Mary Douglass"
"Anderson, N. Charles"
"Anderson, Rasmus Björn, 1846-1936"
"Anderson, Susan, 1870-1960"
"Anderson, Tom, 1910-"
"Anderson, William Albert, 1840-1903"
"Anderson, William J"
"Anderson, William K. (William Knowlton), 1896-1967"
"Anderson, William P., 1888-"
"Anderson, William, b. 1843"
"Andresen, Rachel Josephine, 1907-1988"
"Andrewes, C. H., (Christopher Howard), c Sir"
"Andrews, C. F. (Charles Freer), 1871-1940"
"Andrews, Charles McLean, 1863-1943"
"Andrews, Edmund, 1824-1904"
"Andrews, Ernest Oliver"
"Andrews, Harold F"
"Andrews, Roger, 1874-"
"Angell, Alexis C. (Alexis Caswell), 1857-1932"
"Angell, Avery Aldrich, 1807-1894"
"Angell, Carleton Watson, 1887-1963"
"Angell, George T. (George Thorndike), 1823-1909"
"Angell, James Burrill, 1829-1916"
"Angell, James Rowland, 1869-1949"
"Angell, Norman, Sir, 1874-1967"
"Angell, Robert Cooley, 1899-"
"Angell, Sarah Caswell, 1831-1903"
"Angell, William Robert, 1877-1950"
"Angelo, Frank"
"Angus, David L"
"Annenberg, Walter H., 1908-"
"Anspach, Charles Le Roy, 1895-"
"Anthony, Edward"
"Anthony, Edward Mason, 1922-"
"Anthony, Susan B. (Susan Brownell), 1820-1906"
"Applegate, Albert A"
"Applegate, Harriet Marie"
"Applington, Zenos, d. 1862"
"Aprill, Theophil"
"Araneta, Salvador"
"Archer, Dennis"
"Archer, Glenn Leroy, 1906-"
"Ardrey, William C"
"Arendt, Hannah"
"Arens, Richard"
"Argoff, Charles, 1902-"
"Ariens Kappers, Cornelius Ubbo, 1877-1946"
"Arkins, Edwin L"
"Armour, Norman"
"Armstrong, Elsa F. (Elsa Felland), 1890-"
"Armstrong, George Washington, 1866-"
"Armstrong, Hamilton Fish, 1893-"
"Armstrong, Harriet Seymour"
"Armstrong, James, 1794-1868"
"Armstrong, Louis, 1900-1971"
"Armstrong, Moses Kimball, b. 1832"
"Arndt, Albert F. R"
"Arnett, Judd, 1911-"
"Arnheim, Rudolf"
"Arnold, Jennie Waterman"
"Arnold, Keith"
"Arnold, Melvin Luxton, 1913-"
"Arnold, Orlan"
"Arnold, Thurman Wesley, 1891-1969"
"Arnold, Virginia Safford"
"Arnori, M. S"
"Arnow, Harriette Louisa Simpson, 1908-"
"Arnow, Harriette Louisa Simpson, 1908-1986"
"Arps, George Frederick, 1874-1939"
"Arthur, Chester Alan, 1829-1886"
"Arthur, William Bolling, 1914-"
"Artiaga, Santiago, 1878-1962"
"Asbury, Hubert, 1891-1963"
"Asher, Court"
"Ashford, Bailey K. (Bailey Kelly), 1873-1934"
"Ashley, H. W"
"Ashley, Thomas William Ludlow, 1923-"
"Ashrawi, Hanan"
"Ashurst, Henry Fountain, 1874-"
"Askren, D. L"
"Astin, Allen Varley, 1904-"
"Astor, John Jacob, 1763-1848"
"Aswad, Barbara C"
"Aten, Murl K., 1901-"
"Atkins, Daniel E. (Daniel Ewell)"
"Atkinson, William F"
"Attwood, Charles"
"Attwood, Stephen S. (Stephen Stanley), 1897-1965"
"Atwater, Reginald Myers, 1892-1957"
"Atwell, Helen M"
"Atwood, Albert William, 1879-1975"
"Atwood, Margaret, 1939-"
"Atwood, Orville E., 1880-"
"Auer, Leopold, 1845-1930"
"Auperle, Eric M"
"Aupperle, Eric M"
"Austin, Carolyn"
"Austin, Judson L"
"Austin, Mary Hunter, 1868-1934"
"Austin, Warren Robinson, 1877-1963"
"Autrey-Hunley, Carolyn"
"Averill, George R., 1893-1971"
"Avery, Noyes L"
"Avery, Sewell Lee, 1873-1960"
"Avery, Waldo A"
"Avila Camacho, Manuel, 1897-1955"
"Axelrod, Solomon Jacob, 1912-"
"Axtelle, George E. (George Edward), 1893-1974"
"Aydelotte, Frank, 1880-1956"
"Ayers, John C. (John Carr), 1912-"
"Ayres, Clarence Edwin, 1891-1972"
"Ayres, Francis O"
"Ayres, William H. (William Hanes), 1916-"
"Babbitt, Irving, 1865-1933"
"Babbitt, Rube S"
"Baber, George W. (George Wilbur), 1898-1970"
"Babson, Roger Ward, 1875-1967"
"Babst, Earl D., 1870-1967"
"Bach, Barbara"
"Bach, Ellen Botsford, 1877-1960"
"Bach, Frank, 1948-"
"Bach, Peggy, 1950-"
"Bach, Waldo"
"Bachman, Werner E. (Werner Emmanuel), 1901-1951"
"Bachmann, Werner Emmanuel, 1901-"
"Bachner, Arnie"
"Backus, C. K. (Charles K.)"
"Backus, Standish"
"Bacon, Daniel S., 1839-1866"
"Bacon, Deborah"
"Bacon, Elbridge F"
"Bacon, Mark Reeves, 1852-1941"
"Bader, Arno Lehman"
"Baer, Max A"
"Bagley, John Judson, 1832-1881"
"Bagwell, Paul D"
"Bagwell, Paul Douglas, 1913-1973"
"Bahr, Golden C., 1887-1919"
"Bailey, Bea"
"Bailey, Franklin H., 1845-1914"
"Bailey, John Moran, 1904-1975"
"Bailey, L. H. (Liberty Hyde), 1858-1954"
"Bailey, Richard W"
"Bailey, Tom"
"Bailey, Vernon Howe, 1874-1953"
"Bailey, Vernon, 1864-1942"
"Bailly de Messein, Joseph, 1774-1835"
"Bain, Read, 1892-"
"Baird, Andrew C"
"Baird, Charles, 1870-1944"
"Baird, Elizabeth Therese Fisher, 1810-1890"
"Baird, John, 1860-"
"Baird, Spencer Fullerton, 1823-1887"
"Baits, Vera Burridge, 1892-1963"
"Bakalis, Hrissi"
"Bakalis, Pete"
"Bakeless, John Edwin, 1894-1978"
"Baker, Art"
"Baker, Benjamin B., b. 1840"
"Baker, Burton L. (Burton Lowell), 1912-1978"
"Baker, Deane"
"Baker, Frank C., Mrs"
"Baker, Frank Collins, 1867-1942"
"Baker, Frederick A., b. 1846"
"Baker, George Pierce, 1866-1935"
"Baker, George Sumner"
"Baker, Henry B. (Henry Brooks), 1837-1920"
"Baker, Herbert F., 1862-1930"
"Baker, Howard Bigelow"
"Baker, Howard Henry, 1902-1964"
"Baker, Mary Ursula"
"Baker, Minnie Dell Sprague, 1858-1934"
"Baker, Newton Diehl, 1871-1937"
"Baker, Orrin"
"Baker, Oscar W"
"Baker, Purley Albert, 1858-1924"
"Baker, Ray Stannard, 1870-1946"
"Baker, Sheridan Warner, 1918-2000"
"Baker, Wayne E"
"Baker, William F"
"Balch, Emily Greene, 1867-1961"
"Bald, F. Clever (Frederick Clever), 1897-1970"
"Baldwin, C. W"
"Baldwin, Charles"
"Baldwin, Frank Conger, 1869-1945"
"Baldwin, Frank Dwight"
"Baldwin, Henry P. (Henry Porter), 1814-1892"
"Baldwin, Henry Porter, 1814-1892"
"Baldwin, James Mark, 1861-1934"
"Baldwin, R. W"
"Baldwin, Ralph Belknap, 1912-"
"Baldwin, Raymond Earl, 1893-"
"Baldwin, Richard L"
"Baldwin, Roger Nash, 1884-"
"Baldwin, Ruth Standish"
"Baldwin, William Henry, 1826-1909"
"Balfour, Arthur James, 1848-1930"
"Ball, George W., 1909-"
"Ball, John, 1794-1884"
"Ball, Joseph Hurst, 1905-"
"Ball, Robert P., 1926-"
"Ballantine, Arthur A. (Arthur Atwood), b. 1883"
"Ballard, Clifford Bateman, 1887-1919"
"Ballard, Florence, 1943-1976"
"Ballinger, Richard Achilles, 1858-1922"
"Balls, A. K. (Arnold Kent), 1891-1966"
"Balogh, Tivadar"
"Balzhiser, Richard E"
"Bancroft, George, 1800-1891"
"Bancroft, William L., b. 1825"
"Bandemer, Paul A"
"Bandholtz, Harry Hill, 1864-1925"
"Banfield, William C., 1961-"
"Bank, Ted"
"Banks, A. A. (Allan A.)"
"Banning, Kendall, 1879-1944"
"Bannon, Kenneth F"
"Bantock, Granville, Sir, 1868-1946"
"Banér, Johan G. R. (Johan Gustav Runeskeold), 1861-1938"
"Banér, Skulda V. (Skulda Vanadis)"
"Baraga, Frederic, 1797-1868"
"Barbeau, Peter"
"Barbour, Edwin Scott"
"Barbour, Levi L. (Levi Lewis), 1840-1925"
"Barbour, Thomas, 1884-1946"
"Bardwell, Jex"
"Bareng, T"
"Barkdull, Howard L., 1887-"
"Barker, Ernest Franklin, 1886-"
"Barkley, Alben William, 1877-1956"
"Barnard, Christiaan, 1922-"
"Barnard, Harry, 1906-"
"Barnard, Ruth M"
"Barnes, Al, 1904-"
"Barnes, Douglas"
"Barnes, Edward Larrabee, 1915-"
"Barnes, Harry Elmer, 1889-1968"
"Barnes, J. Milton, 1894-"
"Barnes, Joseph"
"Barnes, M. H"
"Barnes, O. M. (Orlando Mack), 1825-1899"
"Barnes, Russell"
"Barnes, Russell Curtis, 1897-"
"Barnes, Walter, 1880-"
"Barnet, Richard J"
"Barnett, Douglas"
"Barney, Jane Lockwood"
"Barney, Roger"
"Barney, Roger Warren"
"Barnhizer, Daniel D"
"Barr, Merle"
"Barrett, Albert M. (Albert Moore), 1871-1936"
"Barrett, Albert Moore, 1871-1936"
"Barrett, Frank Aloysius, 1892-1962"
"Barrett, Nell"
"Barritt, Loren"
"Barron, Clarence Walker, 1855-1928"
"Barron, Sarah"
"Barrows, Alice P"
"Barrows, David Prescott, 1873-"
"Barrows, John Henry, 1847-1902"
"Barry, John Stewart, 1802-1870"
"Barrymore, Ethel, 1879-1959"
"Bartee, John, 1904-"
"Bartelme, Philip George, 1876-1954"
"Bartels, Levi"
"Bartels, R. C. F. (Robert Christian Frank)"
"Bartlett, Hamilton H"
"Bartlett, Harley Harris, 1886-1960"
"Bartlett, Ilo H"
"Bartlett, Josephine K"
"Bartlett, Lynn M. (Lynn Mahlon), 1904-1970"
"Bartlett, Robert H"
"Bartlett, W. H. (William Henry), 1809-1854"
"Barton, Bruce, 1886-1967"
"Barton, Charles Morris"
"Baruch, Bernard M. (Bernard Mannes), 1870-1965"
"Barwin, Thomas W"
"Barzun, Jacques, 1907-"
"Basch, Laura E., 1911-"
"Bashert, Beth"
"Bashert, Lisa Marshall"
"Bashford, James Whitford, 1849-1919"
"Bass, Louis"
"Bassett, Anita Denniston"
"Bassett, David R., 1928-"
"Bassett, John Spencer, 1867-1928"
"Bassett, Leslie, 1923-"
"Batchelor, George, 1836-1923"
"Bates, George C., 1813-1886"
"Bates, George Joseph, 1891-1949"
"Bates, Harriet"
"Bates, Henry Moore, 1869-1949"
"Bates, LaMott G., b. 1847"
"Bates, Marston, 1906-1974"
"Battley, Joseph F., 1893-"
"Bauer, Elizabeth W"
"Bauer, Emil Gottlob, d. 1894"
"Baur, Emil Gottlob, d. 1894"
"Baur, George"
"Baxter, Benjamin Levi, 1815-1902"
"Baxter, Dow Vawter, 1898-1965"
"Baxter, James Phinney, 1893-"
"Baxter, Kenneth Stewart, 1883-"
"Baxter, Percival Proctor, 1876-"
"Bayard, Thomas F. (Thomas Francis), 1828-1898"
"Bayh, Birch, 1928-"
"Bayne-Jones, Stanhope, 1888-"
"Bazmore, Grace"
"Bazmore, Ray"
"Beakes, Samuel Willard, 1861-1927"
"Beal, Junius E. (Junius Emery), 1860-1942"
"Beal, Junius Emery, 1860-1942"
"Beal, Rice Aner, 1823-1883"
"Beal, William James, 1833-1924"
"Beall, Hayes"
"Bealle, Morris A. (Morris Allison), 1891-"
"Beaman, F. C. (Fernando C.), 1814-1882"
"Bean, John William, 1901-1987"
"Bear, Fred"
"Beard, Charles Austin, 1874-1948"
"Beard, Daniel Carter, 1850-1941"
"Beardsley, Richard K. (Richard King), 1918-"
"Beardsley, Richard K. (Richard King), 1918- Village Japan"
"Beasly, William Arthur"
"Beaty, John Owen, 1890-"
"Beauvais, Francis N"
"Beauvoir, Simone de, 1908-1986"
"Beck, Dave, 1894-"
"Beck, James M. (James Montgomery), 1861-1936"
"Beck, Joseph, 1887-"
"Becker, Carl Lotus, 1873-1945"
"Becker, Herman"
"Becker, May Lamberton, 1873-1958"
"Beckley, Robert M"
"Beckley, Zoe, d. 1961"
"Beckman, Charles K"
"Beebe, Lorraine B. (Lorraine Boekeloo)"
"Beecher, Charles Emerson, 1856-1904"
"Beekman, Lynwood"
"Beekman, Marvin E"
"Beeson, Lewis"
"Beeton, Alfred Merle, 1927-"
"Begg, Victor"
"Begin, Menachem, 1913-"
"Begole, Joshua Williams, 1815-1896"
"Begole, Josiah Williams, 1815-1896"
"Behee, John Richard"
"Behn, Aphra, 1640-1689"
"Behner, Frederick G., 1874-1968"
"Behnke, Larry, 1948-"
"Behrens, Charles August, 1885-1950"
"Belafonte, Harry, 1927-"
"Belcher, Louis D. 1939-"
"Belden, Charles Francis Dorr, 1870-1931"
"Belding, Anson Wood"
"Belfield, Henry Holmes, 1837-1912"
"Belknap, Charles Eugene, 1846-1929"
"Belknap, Ralph Leroy, 1899-"
"Bell, Alexander Graham, 1847-1922"
"Bell, Digby V., 1784-1871"
"Bell, Jack L., 1904-"
"Bell, James Franklin, 1856-1919"
"Bell, Leon"
"Bell, Margaret, 1888-1969"
"Bell, Rob"
"Belser, Karl J. (Karl Jacob), 1902-1972"
"Beman, Wooster Woodruff, 1850-1922"
"Bemelmans, Ludwig, 1898-1962"
"Bemis, Edward Webster, 1860-1930"
"Bemis, Samuel Flagg, 1891-1973"
"Ben-Gurion, David, 1886-1973"
"BenDor, Jan"
"Bender, George Harrison, 1896-1961"
"Benedict, Julius, Sir, 1804-1885"
"Benedict, Ruth, 1887-1948"
"Benford, Harry"
"Beni, Jack A"
"Benitez, Jaime, 1908-"
"Bennett, Flora"
"Bennett, Harry Herbert, 1892-1979"
"Bennett, James O'Donnell, 1870-1940"
"Bennett, John B. (John Bonifas), 1905-1964"
"Bennett, John Coleman, 1902-"
"Bennett, Wallace F. (Wallace Foster), 1898-"
"Bennett, Wells Ira, 1888-"
"Bennett, William Sterndale, Sir, 1816-1875"
"Benninghoff, W. S"
"Bennish, Gloria"
"Bennison, Charles E., 1917-"
"Benson, Ezra Taft"
"Bentley, Alvin M. (Alvin Morell), 1918-1969"
"Benton, William, 1900-1973"
"Beozowski, John J"
"Berger, Carl F"
"Bergman, Walter, 1899-"
"Bergmann, Frithjof"
"Berle, Adolf Augustus, 1895-1971"
"Berlin, Lawrence S"
"Bernard, L. L. (Luther Lee), 1881-1951"
"Berndt, Raymond H"
"Bernstein, I. A"
"Bernstein, Leonard"
"Bernstein, Leonard, 1918-"
"Bernstein, Richard Barry, 1923-"
"Berry, Michael, 1920-"
"Berry, Nabih"
"Bertch, Della Miles, 1861-"
"Berthelot, Helen W"
Bertolaet. Frederick W
"Beselson, Bernard R., 1912-"
"Beston, Henry, 1888-1968"
"Bestor, Arthur Eugene, 1879-1944"
"Bethune, Mary McLeod, 1875-1955"
"Bethune, Norman"
"Bettis, John T., b. 1839"
"Betz, Esther"
"Beukema, John C., 1888-1967"
"Bevan, Elaine"
"Beveridge, Albert Jeremiah, 1862-1927"
"Bevier, Jonathan"
"Bevis, Howard Landis, 1885-"
"Bezner, Frederick O"
"Bible, Alan, 1909-"
"Bicknell, John W"
"Bicknell, William Harry Warren, 1860-"
"Biddle, Francis, 1886-1968"
"Biddle, George"
"Biddle, James, 1783-1848"
"Biddle, John, 1792-1859"
"Biddle, Nicholas, 1893-"
"Bidlack, Russell E. (Russell Eugene), 1920-"
"Biederman, Myrtle"
"Bielenberg, Irma C. (Irma Christina), 1891-"
"Bielskus, Tony"
"Bigby, Paul"
"Bigelow, John W., 1896-1918"
"Bigelow, Martha Mitchell, 1921-"
"Bigelow, Melville Madison, 1846-1921"
"Bigelow, Poultney, b.1855"
"Bigelow, Samuel Lawrence, 1870-1947"
"Bigelow, William F. (William Frederick), 1879-1966"
"Billeau, Ewald H., 1890-"
"Billetdeaux, Neal"
"Billings, Hiram K"
"Billington, Ray Allen, 1903-"
"Billotte, Pierre, 1906-"
"Billup, Edward Lee"
"Binder, Charles"
"Binet, Alfred, 1857-1911"
"Bingay, Malcolm Wallace, 1884-"
"Bingay, Malcolm, 1884-1953"
"Bingham, Abel, 1786-1865"
"Bingham, Hannah, 1794-1868"
"Bingham, James W., 1840-1862"
"Bingham, Kinsley S. (Kinsley Scott), 1808-1861"
"Bingham, Mary Warden"
"Bingham, Walter Van Dyke, 1880-1952"
"Bining, Arthur Cecil, 1893-1957"
"Binkowski, Don, 1929-"
"Birch, Harriet A"
"Bird, Chauncey"
"Bird, James Pyper"
"Bird, John Chambres, 1822-1887"
"Bird, John E. (John Everett), 1862-1928"
"Bird, Judson S., d. 1882"
"Bird, Reuben E. (Reuben Everett), 1811-1885"
"Birge, E. A. (Edward Asahel), 1851-1950"
"Birkerts, Gunnar"
"Birkhead, Leon Milton, 1885-1954"
"Birney, Bridget McClear, 1820-1893"
"Birney, Henry"
"Birney, James Gillespie, 1792-1857"
"Birney, James, 1821-1881"
"Birrenbach, Kurt, 1907-"
"Bisbee, Leland S"
"Bishop, Dorothy H. (Dorothy Hubbard), ca. 1910-"
"Bishop, Levi, 1815-1881"
"Bishop, Merlin D., 1907-"
"Bishop, Ronald"
"Bishop, Russell Spencer, 1886-1946"
"Bishop, William W. (William Warner), 1906-"
"Bishop, William Warner, 1871-1955"
"Bizzell, William Bennett, 1876-1944"
"Black, Eugene F., 1903-"
"Black, Glenn A. (Glenn Albert), 1900-1964"
"Black, Hugo LaFayette, 1886-1971"
"Black, Thomas E"
"Blacker, Robert R., b. 1845"
"Blackmur, R.P. (Richard P.), 1904-1965"
"Blackney, William Wallace, 1876-1963"
"Blackwelder, Justin"
"Blackwell, Alice Stone, 1857-1950"
"Blackwell, Walter"
"Blain, D. Bethune, 1879-1963"
"Blaine, James Gillespie, 1830-1893"
"Blair, Austin, 1818-1894"
"Blair, Charles A. (Charles Austin), 1854-1912"
"Blair, Effie"
"Blair, Sarah Ford"
"Blair, William McCormick, 1884-"
"Blake, Aldrich"
"Blake, Edward Everett, 1875-1947"
"Blakeman, Edward W. (Edward William), 1880-1963"
"Blakeslee, George Hubbard, 1871-1954"
"Blalock, Alfred, 1899-1964"
Blanchard family
"Blanchard, Florence A"
"Blanchard, Frank Nelson, 1888-1937"
"Blanchard, Frieda Cobb"
"Blanchard, Isaac G"
"Blanchard, James J., 1942-"
"Blanchard, Janet"
"Blanco, Victor Manuel"
"Bland, Joseph Edward, 1866-"
"Blanshard, Brand, 1892-1987"
"Blanshard, Mary Hillyer, d. 1965"
"Blanshard, Paul, 1892-"
"Blanton, Richard E"
"Blatnik, John Anton, 1911-"
"Blazier, Craig"
"Bledsoe Ford, Deborah Geraldine"
"Bledsoe, Geraldine Neale"
"Bliss, Aaron Thomas, 1837-1906"
"Bliss, Philemon, 1814-1889"
"Bliss, Ray Charles, 1907-1981"
"Bliss, Tasker Howard, 1853-1930"
"Bliss, William"
"Blitch, Iris, 1912-1993"
"Bliven, Bruce, 1889-1977"
"Block, Herbert, 1909-2001"
"Blodgett, Delos A., 1825-1908"
"Blodgett, John W., Jr"
"Blodgett, John Wood, 1860-1951"
"Blois, John T"
"Blood, W. J"
"Blouin, Francis X"
"Blow, Susan E. (Susan Elizabeth), 1843-1916"
"Bluestone, Barry"
"Bluestone, Irving"
"Blum, Léon, 1872-1950"
"Boak, Arthur Edward Romilly, 1888-1962"
"Boas, Franz, 1858-1942"
"Bobbio, Joseph"
"Bodenstein, Max, 1871-1942"
"Bodley, J. H"
"Boehm, Ernest R"
"Boggs, Thomas Hale, 1914-"
"Bogle, Thomas Ashford, 1852-1921"
"Bohlen, Charles E. (Charles Eustis), 1904-"
"Bohn, Frank Probasco, 1866-1944"
"Bohn, Theodore R"
"Bohr, David"
"Bohr, David F., 1915-"
"Bohr, Niels, 1885-1962"
"Boise, James Robinson, 1815-1895"
"Bolcom, William"
"Boldyreff, W"
"Bole, Giles G"
"Bolger, Ray"
"Bolling, Richard Walker, 1916-"
"Bollinger, Lee C., 1946-"
"Bolt, Jay A"
"Bolton, Charles Knowles, 1867-1950"
"Bolton, Chester Castle, 1882-1939"
"Bolton, Frances Payne Bingham, 1885-1977"
"Bolton, Herbert Eugene, 1870-1953"
"Bond, Floyd Alden"
"Bonisteel, Roscoe O. (Roscoe Osmond), b. 1888"
"Bonk, Wallace John, 1923-"
"Bonnaud, A., Madame"
"Bonnell, Jay H"
"Bonner, Campbell, b. 1876"
"Bonner, Ethel H"
"Bonstelle, Laura Justine, 1872-1932"
"Booth, Edmund Wood, 1866-1927"
"Booth, Evangeline, 1865-1950"
"Booth, George G. (George Gough), b. 1864"
"Booth, Henry Scripps, 1897-"
"Borah, William Edgar, 1865-1940"
"Borah, Woodrow Wilson, 1912-"
